date,year,month,overall_cpi,base_inflation,overall_inflation,ppi_overall,ppi_electricity,base_lending_rate,ipi,myr_usd,myr_rmb
2010-01-31,2010,1,99.4,0.0,100.0,98.4,99.8,5.51,100.0,0.2967521519430222,2.022498208379843
2010-02-28,2010,2,99.4,0.0,100.0,98.4,99.4,5.51,100.0,0.29313185065984726,1.9989411864203095
2010-03-31,2010,3,99.4,0.0,100.0,99.9,100.5,5.76,100.0,0.30160095518635166,2.0558725185443163
2010-04-30,2010,4,99.4,0.0,100.0,99.8,99.7,5.76,100.0,0.3128387480974197,2.132324273499814
2010-05-31,2010,5,99.6,0.201207243,100.2012072,98.6,100.3,6.02,100.0,0.3081845910318436,2.1009969788188876
2010-06-30,2010,6,99.7,0.100401606,100.3016088,99.0,99.8,6.02,100.0,0.3064964602390925,2.0869928729140756
2010-07-31,2010,7,100.0,0.300902708,100.6025116,98.5,100.3,6.27,100.0,0.31268761523308286,2.1156803589998563
2010-08-31,2010,8,100.3,0.3,100.9025116,99.0,99.6,6.27,100.0,0.3172104743219191,2.14936981279906
2010-09-30,2010,9,100.4,0.099700897,101.0022125,98.8,99.8,6.27,100.0,0.3223909854888916,2.1727874221752836
2010-10-31,2010,10,100.6,0.199203187,101.2014156,100.9,100.1,6.27,100.0,0.3229547364096488,2.15116986425195
2010-11-30,2010,11,100.8,0.198807157,101.4002228,102.9,99.5,6.27,100.0,0.3213279247283935,2.133782133130462
2010-12-31,2010,12,101.2,0.396825397,101.7970482,105.9,101.2,6.27,100.0,0.32104979984221915,2.132852415520083
2011-01-31,2011,1,101.8,0.592885375,102.3899336,108.3,100.9,6.27,100.0,0.3287214636802673,2.166088311664629
2011-02-28,2011,2,102.3,0.491159136,102.8810927,109.4,99.8,6.27,100.0,0.3291114398411342,2.1613852983909756
2011-03-31,2011,3,102.4,0.097751711,102.9788444,111.8,101.2,6.27,100.0,0.3297405752443498,2.1623233615286046
2011-04-30,2011,4,102.6,0.1953125,103.1741569,113.2,100.6,6.27,100.0,0.33249801297982534,2.1688330212385547
2011-05-31,2011,5,102.9,0.292397661,103.4665546,113.2,100.7,6.54,100.0,0.3321501381935612,2.156702441615624
2011-06-30,2011,6,103.2,0.29154519,103.7580998,113.5,101.3,6.54,100.0,0.3315624535083771,2.1462547357217763
2011-07-31,2011,7,103.4,0.19379845,103.9518982,113.3,103.8,6.54,100.0,0.3347339630126953,2.1540959224491094
2011-08-31,2011,8,103.6,0.193423598,104.1453218,113.5,106.1,6.54,100.0,0.33572061504087136,2.1481537397422006
2011-09-30,2011,9,103.8,0.193050193,104.338372,113.2,107.7,6.54,100.0,0.3255152106285095,2.0784824083874454
2011-10-31,2011,10,104.0,0.192678227,104.5310502,112.9,107.2,6.54,100.0,0.31910199984427423,2.0328669530221566
2011-11-30,2011,11,104.1,0.096153846,104.6272041,112.2,109.0,6.54,100.0,0.31733373502890266,2.0141225980509074
2011-12-31,2011,12,104.2,0.096061479,104.7232656,113.4,107.9,6.53,100.0,0.3170356289032967,2.01190035709237
2012-01-31,2012,1,104.5,0.287907869,105.0111734,113.4,108.3,6.53,100.0,0.32162913968486173,2.0299915104780935
2012-02-29,2012,2,104.5,0.0,105.0111734,114.0,107.4,6.53,100.0,0.33117777417446004,2.086500754917016
2012-03-31,2012,3,104.5,0.0,105.0111734,115.3,108.4,6.53,100.0,0.3289477132981823,2.0762224014522603
2012-04-30,2012,4,104.5,0.0,105.0111734,115.8,106.2,6.53,100.0,0.3273801326751709,2.063570799782052
2012-05-31,2012,5,104.7,0.19138756,105.202561,114.1,107.0,6.53,100.0,0.32291512912319553,2.039554206379334
2012-06-30,2012,6,104.8,0.095510984,105.298072,111.5,107.2,6.53,100.0,0.31582295298576357,2.0102610646863828
2012-07-31,2012,7,104.8,0.0,105.298072,112.4,106.6,6.53,100.0,0.3161061434976516,2.0140361226923376
2012-08-31,2012,8,105.0,0.190839695,105.4889117,112.8,107.0,6.53,100.0,0.3211763683826693,2.0430455664256657
2012-09-30,2012,9,105.2,0.19047619,105.6793879,110.8,106.4,6.53,100.0,0.3252834578355153,2.057275181251536
2012-10-31,2012,10,105.4,0.190114068,105.8695019,108.5,107.2,6.53,100.0,0.3278272642243293,2.057024581400641
2012-11-30,2012,11,105.5,0.09487666,105.9643786,107.0,107.1,6.53,100.0,0.3273035556077957,2.0420148039476183
2012-12-31,2012,12,105.5,0.0,105.9643786,106.0,107.9,6.53,100.0,0.3276489280885266,2.042964299160509
2013-01-31,2013,1,105.9,0.379146919,106.3435255,107.9,107.3,6.53,100.0,0.32944621770612653,2.050270071578818
2013-02-28,2013,2,106.1,0.188857413,106.5323829,109.6,107.5,6.53,100.0,0.3230823044266019,2.0134643514426203
2013-03-31,2013,3,106.2,0.094250707,106.6266336,108.2,108.3,6.53,100.0,0.3221031360087856,2.0030849135311595
2013-04-30,2013,4,106.3,0.094161959,106.7207956,107.3,107.4,6.53,100.0,0.3287245362997055,2.0350137689571812
2013-05-31,2013,5,106.6,0.282220132,107.0030157,106.6,108.4,6.53,100.0,0.33143982002812045,2.033552676444058
2013-06-30,2013,6,106.7,0.09380863,107.0968243,107.6,108.6,6.53,100.0,0.31898520787556967,1.9573538204430458
2013-07-31,2013,7,106.9,0.187441425,107.2842658,108.2,108.1,6.53,100.0,0.31354871776796156,1.920321086737711
2013-08-31,2013,8,107.0,0.09354537,107.3778111,108.8,107.5,6.53,100.0,0.3054312217620111,1.8667531125886632
2013-09-30,2013,9,107.9,0.841121495,108.2189326,109.4,108.2,6.53,100.0,0.3077025403579076,1.8801333362858146
2013-10-31,2013,10,108.3,0.370713624,108.5896463,109.4,108.2,6.53,100.0,0.31544960506500735,1.922752596648529
2013-11-30,2013,11,108.6,0.27700831,108.8666546,110.2,107.4,6.53,100.0,0.3135619521141052,1.9074266820259018
2013-12-31,2013,12,108.9,0.276243094,109.1428977,112.2,107.4,6.53,100.0,0.3104177261552503,1.883240621786196
2014-01-31,2014,1,109.5,0.550964187,109.6938619,111.9,110.4,6.53,100.0,0.30277787966112935,1.829332091303989
2014-02-28,2014,2,109.8,0.273972603,109.9678345,113.4,119.8,6.53,100.0,0.3021242043801716,1.8321852782314443
2014-03-31,2014,3,109.9,0.091074681,110.0589091,113.9,121.5,6.53,100.0,0.3050258025046318,1.8785830463849922
2014-04-30,2014,4,109.9,0.0,110.0589091,113.1,120.6,6.53,100.0,0.3071312298377355,1.9080744250575818
2014-05-31,2014,5,110.0,0.090991811,110.1499009,112.2,121.5,6.53,100.0,0.3096916887067979,1.929028112676578
2014-06-30,2014,6,110.2,0.181818182,110.3317191,111.4,121.5,6.53,100.0,0.3107939749956131,1.9341374237857556
2014-07-31,2014,7,110.3,0.090744102,110.4224632,111.0,122.6,6.78,100.0,0.3142954630236472,1.9458501804407653
2014-08-31,2014,8,110.5,0.181323663,110.6037869,109.6,123.3,6.79,100.0,0.31479059496233536,1.9346777041223047
2014-09-30,2014,9,110.7,0.180995475,110.7847824,109.2,117.4,6.79,100.0,0.3108975827693939,1.9053047257657036
2014-10-31,2014,10,111.3,0.54200542,111.3267878,107.8,117.0,6.79,100.0,0.30590446245285774,1.8712037839099311
2014-11-30,2014,11,111.9,0.539083558,111.8658713,107.3,115.7,6.79,100.0,0.29852277437845864,1.8251298715166797
2014-12-31,2014,12,111.8,-0.089365505,111.7765058,104.5,116.5,6.79,100.0,0.2876694288945967,1.777755121156212
2015-01-31,2015,1,110.6,-1.073345259,110.7031606,104.1,115.8,6.79,101.0288898,0.2799378191271135,1.7366714002880983
2015-02-28,2015,2,109.9,-0.632911392,110.0702492,104.6,116.1,6.79,90.81159021,0.278064244559833,1.7354025217036866
2015-03-31,2015,3,110.9,0.909918107,110.9801673,103.8,116.9,6.79,101.6600192,0.27171674947584823,1.6930451273547182
2015-04-30,2015,4,111.9,0.901713255,111.8818806,103.1,114.3,6.79,97.04095038,0.2758140911658605,1.7076215210457841
2015-05-31,2015,5,112.3,0.35746202,112.2393426,101.6,115.0,6.79,100.6770583,0.27799568541588315,1.7216514231447444
2015-06-30,2015,6,113.0,0.623330365,112.8626729,101.2,114.6,6.79,100.9049149,0.26771164735158287,1.6586974261035754
2015-07-31,2015,7,113.9,0.796460177,113.6591331,101.1,112.3,6.79,100.4204174,0.26330399609381155,1.632017278163997
2015-08-31,2015,8,113.9,0.0,113.6591331,100.3,111.9,6.79,98.20555753,0.24782858164079724,1.565249816636206
2015-09-30,2015,9,113.6,-0.263388938,113.3957442,101.6,111.8,6.79,101.531373,0.2326450516780217,1.4795649877028132
2015-10-31,2015,10,114.1,0.440140845,113.835885,102.6,111.9,6.79,104.5891002,0.23622971196328438,1.4982160000456497
2015-11-30,2015,11,114.8,0.613496933,114.449382,101.6,110.9,6.79,99.54361826,0.23273528019587192,1.4798309649451116
2015-12-31,2015,12,114.8,0.0,114.449382,100.9,110.8,6.79,103.5868704,0.23404875349613924,1.5072109604491424
2016-01-31,2016,1,114.5,-0.261324042,114.1880579,99.5,111.0,6.79,104.2950894,0.23135245903845753,1.5168301441104792
2016-02-29,2016,2,114.5,0.0,114.1880579,99.6,111.2,6.8,94.62153162,0.24019007282010438,1.5707799548574022
2016-03-31,2016,3,113.8,-0.611353712,113.5767042,99.7,111.1,6.8,104.3339323,0.24725143226885024,1.6070285412042455
2016-04-30,2016,4,114.3,0.439367311,114.0160715,100.2,109.9,6.8,99.75346384,0.2569494475920995,1.6609847401231874
2016-05-31,2016,5,114.6,0.262467192,114.2785387,99.5,110.9,6.8,103.5792287,0.2477088589822092,1.6139648680006735
2016-06-30,2016,6,114.8,0.17452007,114.4530588,99.9,113.3,6.81,106.3242606,0.245990947385629,1.617700596687597
2016-07-31,2016,7,115.1,0.261324042,114.7143828,99.0,113.0,6.68,104.2264527,0.2498444568726324,1.6664815696418198
2016-08-31,2016,8,115.6,0.434404865,115.1487877,100.2,113.4,6.64,103.1230332,0.2486622891118449,1.6518614995415417
2016-09-30,2016,9,115.3,-0.259515571,114.8892721,102.0,113.4,6.64,104.6279503,0.2435247575243314,1.6242712017589331
2016-10-31,2016,10,115.7,0.346921075,115.2361932,102.7,114.3,6.64,109.1669514,0.23971222821743254,1.6116574740400875
2016-11-30,2016,11,116.8,0.950734659,116.1869278,103.8,114.2,6.64,106.4001289,0.2302184075117111,1.5734393894655014
2016-12-31,2016,12,116.8,0.0,116.1869278,107.5,114.7,6.65,108.9412175,0.22436998399995986,1.5512747173099346
2017-01-31,2017,1,118.1,1.113013699,117.2999415,109.6,114.6,6.65,108.2351486,0.22448822807881136,1.547317829023063
2017-02-28,2017,2,119.6,1.270110076,118.5700516,110.4,114.5,6.65,99.50932598,0.2252422501998288,1.5479253146162677
2017-03-31,2017,3,119.4,-0.16722408,118.4028275,108.7,114.8,6.65,109.1087648,0.2254133536931007,1.5535504117279852
2017-04-30,2017,4,119.2,-0.167504188,118.2353234,107.7,114.5,6.65,103.8429096,0.22720578511555986,1.5645111486967218
2017-05-31,2017,5,119.0,-0.167785235,118.0675381,107.5,114.2,6.65,107.8790422,0.2317627745289956,1.5962799913388241
2017-06-30,2017,6,118.7,-0.25210084,117.8154373,106.3,114.2,6.65,109.5385851,0.23391283551851902,1.5929019419960004
2017-07-31,2017,7,118.7,0.0,117.8154373,106.0,114.9,6.65,110.3151197,0.23324148837597136,1.5793200915120083
2017-08-31,2017,8,119.8,0.926705981,118.7421433,106.9,115.3,6.67,110.2412512,0.2335816145904602,1.5587486080021695
2017-09-30,2017,9,120.1,0.250417362,118.9925606,108.1,114.8,6.68,109.5205781,0.23746519088745113,1.5597205906196734
2017-10-31,2017,10,120.0,-0.083263947,118.9092967,107.5,114.6,6.68,112.8503246,0.2365797037078488,1.5681382608143495
2017-11-30,2017,11,120.8,0.666666667,119.5759633,108.3,114.8,6.68,111.8638393,0.2400324280063311,1.589078966661364
2017-12-31,2017,12,120.9,0.082781457,119.6587448,107.8,114.5,6.68,112.0553772,0.24535870792404293,1.6182151777781426
2018-01-31,2018,1,121.3,0.330851944,119.9895967,108.3,114.1,6.72,113.3969347,0.25305901467800135,1.628599993240578
2018-02-28,2018,2,121.3,0.0,119.9895967,106.7,115.4,6.89,101.7742891,0.2557504954082625,1.6170825429256221
2018-03-31,2018,3,120.9,-0.329760923,119.6598358,106.3,116.3,6.89,112.0802999,0.2562361196164162,1.6208205056153386
2018-04-30,2018,4,120.9,0.0,119.6598358,106.8,116.2,6.89,108.9346368,0.25757487714290617,1.621941274888783
2018-05-31,2018,5,121.1,0.165425972,119.8252618,107.1,116.6,6.9,111.5775933,0.2524175773705205,1.6069235670098185
2018-06-30,2018,6,119.6,-1.238645747,118.586616,106.4,115.7,6.9,111.7523492,0.2504030555486679,1.6159781970100446
2018-07-31,2018,7,119.8,0.16722408,118.7538401,106.7,116.2,6.91,113.2150449,0.2471211028675879,1.6570941814254578
2018-08-31,2018,8,120.0,0.166944908,118.920785,106.6,116.0,6.91,112.2880876,0.24461682236963697,1.675006382145222
2018-09-30,2018,9,120.5,0.416666667,119.3374517,107.9,115.9,6.91,112.3626001,0.2418082843224207,1.6568310666930743
2018-10-31,2018,10,120.7,0.165975104,119.5034268,108.2,115.8,6.91,117.7029525,0.24062863665242346,1.663574532658475
2018-11-30,2018,11,121.0,0.248550124,119.7519769,105.2,116.2,6.91,114.2063225,0.23919860521952305,1.6591404803394132
2018-12-31,2018,12,121.1,0.082644628,119.8346216,103.8,116.3,6.91,115.9181686,0.23964410491528046,1.6510588543600349
2019-01-31,2019,1,120.5,-0.495458299,119.3391633,104.4,116.6,6.91,117.706041,0.24292134036940907,1.6519511503634248
2019-02-28,2019,2,120.8,0.248962656,119.5881259,105.0,116.3,6.91,104.2446499,0.24532574255551606,1.652782181158841
2019-03-31,2019,3,121.1,0.248344371,119.8364703,104.7,118.8,6.91,115.8277436,0.24543690921798827,1.6473681662568416
2019-04-30,2019,4,121.1,0.0,119.8364703,105.3,117.9,6.92,112.6223878,0.24296243240435916,1.6317961523695035
2019-05-31,2019,5,121.4,0.247729149,120.0841994,105.5,118.0,6.71,116.188772,0.2401715425714369,1.6439188986781375
2019-06-30,2019,6,121.4,0.0,120.0841994,104.5,117.8,6.71,115.2841699,0.24061313867568968,1.6593459692977162
2019-07-31,2019,7,121.5,0.082372323,120.1665718,104.4,118.0,6.71,114.7353071,0.24277778883134163,1.6692486103948279
2019-08-31,2019,8,121.8,0.24691358,120.4134853,104.6,118.5,6.71,114.8481222,0.23916755953142718,1.6844420413227472
2019-09-30,2019,9,121.8,0.0,120.4134853,105.3,117.4,6.71,114.2361088,0.23906524827082948,1.7014373434634946
2019-10-31,2019,10,122.0,0.164203612,120.5776889,105.1,117.3,6.71,118.0122099,0.23900268395100868,1.6969196191600469
2019-11-30,2019,11,122.1,0.081967213,120.6596562,106.5,116.9,6.71,116.9430656,0.2405833880106608,1.6893094626338894
2019-12-31,2019,12,122.3,0.163800164,120.8234563,107.4,117.7,6.71,117.4188629,0.24103367040234225,1.6911828436254739
2020-01-31,2020,1,122.4,0.081766149,120.9052225,107.3,117.8,6.5,118.4901094,0.24530735659983846,1.6992858329193188
2020-02-29,2020,2,122.4,0.0,120.9052225,105.9,118.2,6.48,110.54329,0.24099983531853245,1.6846188326629266
2020-03-31,2020,3,120.9,-1.225490196,119.6797323,102.7,118.4,6.26,109.9915184,0.23320627500933983,1.6378779326443818
2020-04-30,2020,4,117.6,-2.729528536,116.9502037,99.9,118.1,6.26,77.00413023,0.22992069969574608,1.625534087706344
2020-05-31,2020,5,117.9,0.255102041,117.2053058,99.7,117.8,5.78,91.22415521,0.23081529284677196,1.6387507264806398
2020-06-30,2020,6,119.1,1.017811705,118.2231175,100.3,117.1,5.75,115.4238002,0.2340318957964579,1.6581481789766008
2020-07-31,2020,7,119.9,0.67170445,118.8948219,100.7,116.5,5.52,116.7922566,0.23453421361984741,1.6441749752121781
2020-08-31,2020,8,120.1,0.166805671,119.0616276,101.7,116.3,5.49,114.7449877,0.23878616334930539,1.6560975551104673
2020-09-30,2020,9,120.1,0.0,119.0616276,101.2,116.4,5.49,115.9363299,0.24105579406023023,1.6428385480932115
2020-10-31,2020,10,120.2,0.083263947,119.1448916,101.3,115.9,5.49,117.801942,0.240978401034109,1.6228203993260844
2020-11-30,2020,11,120.0,-0.166389351,118.9785022,103.3,116.7,5.49,114.3362635,0.2431639914711316,1.606589647864805
2020-12-31,2020,12,120.6,0.5,119.4785022,105.1,115.7,5.49,119.4607046,0.2466239717698866,1.6129524868359497
2021-01-31,2021,1,122.1,1.243781095,120.7222833,107.2,115.6,5.49,120.0413234,0.24789213317055853,1.605605768361009
2021-02-28,2021,2,122.5,0.327600328,121.0498836,108.8,115.9,5.49,112.3838485,0.24734775030187195,1.598200273913849
2021-03-31,2021,3,122.9,0.326530612,121.3764142,109.6,116.8,5.49,120.629304,0.24368173653079614,1.5851656975390074
2021-04-30,2021,4,123.1,0.16273393,121.5391482,110.5,117.1,5.49,115.2702863,0.24250393509864804,1.5821567839412083
2021-05-31,2021,5,123.1,0.0,121.5391482,111.6,117.9,5.49,115.3311917,0.24248288956380656,1.5605628338944786
2021-06-30,2021,6,123.2,0.081234768,121.6203829,111.8,116.9,5.49,116.9458114,0.2420521611968676,1.5545828753671125
2021-07-31,2021,7,122.5,-0.568181818,121.0522011,112.5,116.7,5.49,110.6070692,0.23835785446628444,1.5430089664491844
2021-08-31,2021,8,122.5,0.0,121.0522011,113.2,116.8,5.49,114.4519111,0.23697985083826123,1.5346398553658216
2021-09-30,2021,9,122.8,0.244897959,121.2970991,113.6,116.2,5.49,118.2719533,0.24024287958939866,1.5511420918481595
2021-10-31,2021,10,123.7,0.732899023,122.0299981,114.7,116.7,5.49,124.3903564,0.24015435720643682,1.5421137099219269
2021-11-30,2021,11,124.0,0.242522231,122.2725203,116.3,116.4,5.49,124.9419568,0.2395431836446126,1.5307395523613716
2021-12-31,2021,12,124.5,0.403225806,122.6757461,115.6,116.5,5.49,126.5947008,0.23752794919475428,1.5128583044263668
2022-01-31,2022,1,124.9,0.321285141,122.9970313,117.1,116.6,5.49,124.8647645,0.23880867660045618,1.5179008878543394
2022-02-28,2022,2,125.2,0.240192154,123.2372234,119.4,116.8,5.49,116.4417961,0.23893256964428078,1.5158259530741958
2022-03-31,2022,3,125.6,0.319488818,123.5567122,122.3,117.0,5.49,126.5998139,0.23824713691588367,1.5108186250091704
2022-04-30,2022,4,125.9,0.238853503,123.7955658,122.6,117.8,5.49,120.4771943,0.23503277748823162,1.5075617077066918
2022-05-31,2022,5,126.6,0.555996823,124.3515626,124.1,117.2,5.73,119.4321799,0.22838300322332686,1.53000034234414
2022-06-30,2022,6,127.4,0.631911532,124.9834741,124.0,116.7,5.73,130.8001528,0.2274334445595741,1.5220519228313603
2022-07-31,2022,7,127.9,0.392464678,125.3759388,121.1,117.7,5.97,124.679735,0.2254489097864397,1.5176856166859918
2022-08-31,2022,8,128.2,0.234558249,125.610497,120.9,117.8,5.97,129.5087275,0.2241067679659013,1.52168768290978
2022-09-30,2022,9,128.3,0.07800312,125.6885002,119.2,117.6,6.2,131.0974598,0.2208019807934761,1.5453951522036868
2022-10-31,2022,10,128.6,0.233826968,125.9223271,119.3,118.1,6.2,129.8361728,0.21346824447954854,1.5323717566436184
2022-11-30,2022,11,129.0,0.311041991,126.2333691,120.0,118.0,6.42,131.0502856,0.2165404255191485,1.555806399504646
2022-12-31,2022,12,129.2,0.15503876,126.3884079,119.6,117.7,6.42,130.199544,0.22672365509694622,1.582059518543198
2023-01-31,2023,1,129.5,0.232198142,126.620606,118.6,118.0,6.42,127.3517303,0.2312326080376102,1.5700959591506567
2023-02-28,2023,2,129.8,0.231660232,126.8522662,118.4,118.0,6.42,120.6366601,0.22918547157730376,1.5678135153384964
2023-03-31,2023,3,129.9,0.077041602,126.9293078,118.7,118.6,6.42,130.643658,0.22386488943330704,1.54276066671354
2023-04-30,2023,4,130.0,0.076982294,127.0062901,118.9,117.9,6.42,116.5990649,0.2261353795727094,1.556773073304713
2023-05-31,2023,5,130.2,0.153846154,127.1601363,118.4,118.6,6.68,125.1052514,0.2214799754081234,1.5475144214553647
2023-06-30,2023,6,130.4,0.153609831,127.3137461,118.1,117.9,6.68,127.895475,0.21613962600628536,1.5457973870362476
2023-07-31,2023,7,130.5,0.076687117,127.3904332,118.3,117.8,6.68,125.5772897,0.21784436510455224,1.564365804747024
